"SIC2007 Table 5.5a   Hourly pay - Gross (£) - For all employee jobsa: United Kingdom, 2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,Number,,Annual,,Annual,,,,,,,,,,,,,,,,,,
South West ,E12000009,"2,317",16.23,6.5,19.86,5.8,11.57,12.38,12.80,13.32,14.57,18.30,21.11,22.72,24.94,31.40,,,,,,,,
Wales ,W92000004,"1,233",15.85,6.5,19.09,6.0,11.58,12.20,12.62,13.05,14.30,17.97,20.37,22.06,23.75,29.54,,,,,,,,
Scotland ,S92000003,"2,449",17.52,4.9,21.15,4.3,11.90,12.82,13.39,14.11,15.59,19.96,23.11,24.71,26.58,32.65,,,,,,,,
Northern Ireland ,N92000002,"1,060",15.25,6.0,18.97,4.3,11.47,12.00,12.40,12.73,13.84,17.22,20.22,21.57,23.25,28.58,,,,,,,,
All Industries and Services,,"28,199",17.10,6.9,21.65,6.9,11.64,12.50,13.01,13.64,15.10,19.52,22.69,24.64,26.90,34.75,,,,,,,,
All Index of Production Industries,,"2,828",18.02,5.9,21.27,6.6,12.15,13.34,14.00,14.67,16.23,20.19,23.16,24.97,27.08,34.17,,,,,,,,
All Manufacturing,,"2,465",17.78,5.9,21.02,6.8,12.07,13.21,13.85,14.51,16.00,19.92,22.81,24.62,26.73,33.51,,,,,,,,
All Service Industries,,"24,204",16.92,7.0,21.71,6.8,11.60,12.42,12.90,13.47,14.94,19.41,22.64,24.61,26.87,34.83,,,,,,,,
"AGRICULTURE, FORESTRY AND FISHING ",A,156,13.60,6.1,15.76,6.3,11.44,11.74,12.00,12.22,12.94,14.64,16.07,16.85,18.08,22.30,,,,,,,,
"Crop and animal production, hunting and related service activities ",1,139,13.34,6.7,15.42,7.1,11.44,11.62,11.95,12.07,12.74,14.35,15.67,16.43,17.70,21.22,,,,,,,,
Forestry and logging ,2,11,15.32,5.9,16.55,4.8,12.18,12.90,13.57,13.99,14.99,16.80,17.30,18.69,x,x,,,,,,,,
Fishing and aquaculture ,3,x,17.89,-5.7,22.07,-7.2,x,x,14.28,15.74,16.92,19.15,x,x,x,x,,,,,,,,
MINING AND QUARRYING ,B,25,23.09,9.0,27.01,8.2,13.38,14.86,15.43,17.13,19.33,25.89,32.07,35.38,x,x,,,,,,,,
Mining of coal and lignite ,5,:,,,,,,,,,,,,,,,,,,,,,,
Extraction of crude petroleum and natural gas ,6,x,x,,46.11,-3.0,x,x,x,x,37.74,x,x,x,x,x,,,,,,,,
Mining of metal ores ,7,:,,,,,,,,,,,,,,,,,,,,,,
Other mining and quarrying ,8,12,17.45,5.7,19.73,3.4,x,14.14,14.56,14.85,15.89,19.00,20.40,x,x,x,,,,,,,,
Mining support service activities ,9,9,27.90,25.2,29.09,6.1,x,16.52,17.23,19.44,24.67,31.57,35.37,x,x,x,,,,,,,,
MANUFACTURING ,C,"2,465",17.78,5.9,21.02,6.8,12.07,13.21,13.85,14.51,16.00,19.92,22.81,24.62,26.73,33.51,,,,,,,,
Manufacture of food products ,10,361,14.50,5.3,17.81,7.2,11.60,12.23,12.50,12.83,13.54,15.76,17.66,19.12,21.43,27.83,,,,,,,,
Manufacture of beverages ,11,55,19.02,5.9,22.11,3.6,12.49,13.75,14.37,15.46,17.32,20.75,23.61,25.61,27.45,x,,,,,,,,
Manufacture of tobacco products ,12,:,,,,,,,,,,,,,,,,,,,,,,
Manufacture of textiles ,13,42,13.81,3.6,17.13,4.8,11.52,11.95,12.18,12.36,12.93,15.18,17.06,18.66,20.08,x,,,,,,,,
Manufacture of wearing apparel ,14,11,12.25,2.1,14.51,9.8,11.44,11.45,11.64,11.72,11.93,12.81,13.85,x,x,x,,,,,,,,
Manufacture of leather and related products ,15,8,13.32,2.3,15.11,0.2,x,12.23,12.37,12.53,12.88,14.56,16.75,x,x,x,,,,,,,,
"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,59,15.31,6.0,17.64,1.8,11.75,12.50,12.94,13.27,14.31,16.83,18.61,19.47,20.67,x,,,,,,,,
Manufacture of paper and paper products ,17,45,17.04,1.5,19.20,-2.0,12.08,13.11,13.57,14.36,15.69,18.67,20.94,21.74,23.94,x,,,,,,,,
Printing and reproduction of recorded media ,18,63,15.33,3.7,18.54,6.2,11.63,12.07,12.65,13.29,14.17,17.35,19.58,21.57,23.35,x,,,,,,,,
Manufacture of coke and refined petroleum products ,19,10,28.61,-2.0,30.89,8.3,x,19.90,21.51,22.44,26.22,32.75,36.19,x,x,x,,,,,,,,
Manufacture of chemicals and chemical products ,20,87,18.20,1.1,21.65,2.2,12.61,13.81,14.51,15.02,16.55,20.82,24.03,25.20,27.21,x,,,,,,,,
Manufacture of basic pharmaceutical products and pharmaceutical preparations ,21,81,23.90,29.1,29.09,42.5,13.95,16.90,18.02,18.86,21.08,26.67,31.48,37.02,40.29,x,,,,,,,,
Manufacture of rubber and plastic products ,22,158,15.42,4.9,18.79,6.4,11.79,12.50,12.92,13.29,14.26,17.21,19.47,20.75,22.14,28.75,,,,,,,,
Manufacture of other non-metallic mineral products ,23,86,16.60,3.8,19.51,8.2,12.20,13.33,13.77,14.24,15.33,18.76,20.98,22.79,23.98,x,,,,,,,,
Manufacture of basic metals ,24,76,20.83,10.9,23.00,9.5,13.86,15.66,16.53,17.39,19.00,23.27,25.46,27.19,31.20,36.46,,,,,,,,
"Manufacture of fabricated metal products, except machinery and equipment ",25,281,17.23,7.1,20.56,12.0,12.26,13.40,13.98,14.63,15.81,18.87,20.98,22.50,24.35,29.32,,,,,,,,
"Manufacture of computer, electronic and optical products ",26,140,19.95,5.4,23.82,5.9,12.81,14.21,15.02,15.96,17.77,23.79,27.87,29.12,31.08,39.12,,,,,,,,
Manufacture of electrical equipment ,27,101,18.86,4.6,21.84,4.1,12.44,13.58,14.26,14.94,16.94,20.97,24.81,26.51,28.43,x,,,,,,,,
Manufacture of machinery and equipment n.e.c. ,28,204,19.20,4.1,22.42,5.3,12.81,14.51,15.26,15.89,17.62,21.06,24.01,25.82,27.60,36.10,,,,,,,,
"Manufacture of motor vehicles, trailers and semi-trailers ",29,125,19.23,-7.1,21.76,-2.8,12.51,14.03,14.97,15.80,17.25,21.46,24.37,25.74,28.29,34.98,,,,,,,,
Manufacture of other transport equipment ,30,226,23.78,0.3,25.17,0.4,15.34,17.61,18.70,19.73,21.73,25.71,28.02,29.44,31.22,36.43,,,,,,,,
Manufacture of furniture ,31,72,14.91,8.2,16.89,6.5,11.50,12.30,12.60,13.00,13.98,16.06,17.53,18.40,19.17,x,,,,,,,,
Other manufacturing ,32,87,16.59,6.4,20.06,6.2,11.93,12.69,13.10,13.70,15.05,18.31,20.76,21.97,24.27,x,,,,,,,,
Repair and installation of machinery and equipment ,33,90,19.73,6.7,22.22,8.4,13.03,14.41,15.59,16.45,17.89,22.03,24.59,26.21,28.39,34.98,,,,,,,,
"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,122,25.05,4.5,27.84,4.0,14.38,17.40,18.59,19.54,22.01,27.53,31.08,33.36,38.00,45.45,,,,,,,,
"Electricity, gas, steam and air conditioning supply ",35,122,25.05,4.5,27.84,4.0,14.38,17.40,18.59,19.54,22.01,27.53,31.08,33.36,38.00,45.45,,,,,,,,
"WATER SUPPLY; SEWERAGE, WASTE MANAGEMENT AND REMEDIATION ACTIVITIES ",E,217,17.74,5.1,19.81,6.4,12.38,13.63,14.31,14.81,16.19,19.60,21.63,22.63,24.36,30.62,,,,,,,,
"Water collection, treatment and supply ",36,75,20.57,6.1,21.68,4.0,13.41,15.72,16.79,17.67,19.23,21.83,23.54,24.76,26.03,x,,,,,,,,
Sewerage ,37,23,18.29,-4.8,20.56,-4.8,13.16,14.19,14.77,15.37,16.55,19.76,22.07,22.71,27.87,x,,,,,,,,
"Waste collection, treatment and disposal activities; materials recovery ",38,114,15.92,6.1,18.64,9.0,11.98,12.94,13.52,13.96,14.76,17.31,19.20,20.50,22.32,30.67,,,,,,,,
Remediation activities and other waste management services ,39,6,16.19,10.4,17.41,13.0,x,x,13.49,13.74,14.22,17.02,x,x,x,x,,,,,,,,
CONSTRUCTION ,F,"1,012",18.55,6.3,22.36,8.7,12.00,13.74,14.53,15.21,16.87,20.59,23.52,25.56,28.30,35.92,,,,,,,,
Construction of buildings ,41,318,20.16,3.3,25.39,8.2,12.28,14.32,15.02,16.07,18.16,23.01,27.72,30.42,33.00,41.11,,,,,,,,
Civil engineering ,42,178,20.00,10.7,23.94,14.4,12.68,14.65,15.64,16.35,17.97,22.69,26.10,28.27,31.04,37.97,,,,,,,,
Specialised construction activities ,43,516,17.50,6.3,19.90,7.5,11.95,13.25,14.00,14.72,15.97,19.00,21.15,22.50,24.27,29.97,,,,,,,,
WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ,G,"3,585",13.57,7.4,18.14,9.3,11.44,11.64,11.94,12.06,12.70,14.90,16.87,18.29,20.20,27.54,,,,,,,,
Wholesale and retail trade and repair of motor vehicles and motorcycles ,45,454,15.00,7.1,17.68,7.9,11.47,12.01,12.46,12.89,13.98,16.27,17.68,18.75,20.00,25.00,,,,,,,,
"Wholesale trade, except of motor vehicles and motorcycles ",46,"1,076",16.77,7.9,21.32,10.3,11.89,12.69,13.21,13.80,15.10,18.95,22.04,24.18,26.61,35.94,,,,,,,,
"Retail trade, except of motor vehicles and motorcycles ",47,"2,054",12.51,8.3,16.08,8.3,11.35,11.47,11.55,11.74,12.03,13.20,14.28,15.06,16.36,22.02,,,,,,,,
TRANSPORTATION AND STORAGE ,H,"1,105",16.44,4.8,19.92,4.3,12.30,13.25,13.87,14.36,15.14,18.11,20.66,22.26,24.27,32.65,,,,,,,,
Land transport and transport via pipelines ,49,405,16.31,4.9,19.38,5.3,12.27,13.29,13.72,14.24,15.12,17.89,20.14,21.61,23.11,33.26,,,,,,,,
Water transport ,50,13,18.30,-9.1,22.27,-11.1,x,12.74,13.45,15.09,16.13,20.85,24.88,x,x,x,,,,,,,,
Air transport ,51,56,21.70,12.7,29.17,6.1,12.77,15.73,16.54,17.73,20.20,24.15,27.45,31.86,36.95,x,,,,,,,,
Warehousing and support activities for transportation ,52,416,16.83,3.9,20.65,3.0,12.20,12.93,13.52,14.01,15.26,19.23,22.26,24.29,26.49,33.83,,,,,,,,
Postal and courier activities ,53,216,15.38,4.7,17.32,4.9,12.55,13.95,14.31,14.45,14.69,16.52,17.66,18.50,19.60,23.24,,,,,,,,
ACCOMMODATION AND FOOD SERVICE ACTIVITIES ,I,"1,466",12.00,9.1,14.22,9.0,9.45,x,x,11.44,11.62,12.52,13.44,14.00,14.86,17.77,,,,,,,,
Accommodation ,55,351,12.55,6.6,15.06,5.9,11.13,11.44,11.54,11.69,12.09,13.33,14.39,15.00,15.80,19.16,,,,,,,,
Food and beverage service activities ,56,"1,115",11.88,10.0,13.91,10.1,9.05,11.42,x,11.44,11.54,12.35,13.13,13.69,14.47,17.10,,,,,,,,
INFORMATION AND COMMUNICATION ,J,"1,179",23.87,7.2,28.50,8.7,13.51,16.10,17.35,18.65,20.90,27.27,31.74,34.50,37.62,46.68,,,,,,,,
Publishing activities ,58,102,20.27,3.2,24.51,7.8,13.18,15.22,15.92,16.91,18.49,23.10,26.46,28.60,31.32,x,,,,,,,,
"Motion picture, video and television programme production, sound recording and music publishing activities ",59,64,17.85,0.4,23.79,-6.5,11.47,12.09,13.35,14.23,16.26,20.98,24.59,26.27,29.78,x,,,,,,,,
Programming and broadcasting activities ,60,37,24.44,-4.5,29.89,11.7,15.16,17.56,19.38,20.68,22.54,28.62,33.03,37.10,41.26,x,,,,,,,,
Telecommunications ,61,249,22.69,8.2,25.90,9.3,13.79,16.63,17.89,19.06,20.36,25.13,28.15,30.96,33.33,40.43,,,,,,,,
"Computer programming, consultancy and related activities ",62,664,25.55,7.4,29.62,8.5,13.80,16.41,18.02,19.23,21.89,29.17,33.61,36.46,39.11,48.04,,,,,,,,
Information service activities ,63,64,29.09,16.0,36.53,18.8,13.87,16.18,17.82,19.21,23.50,34.89,43.18,47.61,53.63,x,,,,,,,,
FINANCIAL AND INSURANCE ACTIVITIES ,K,"1,148",25.79,7.7,34.98,8.8,13.77,16.15,17.25,18.62,21.86,30.80,37.19,41.04,46.02,61.42,,,,,,,,
"Financial service activities, except insurance and pension funding ",64,637,28.09,3.5,37.54,4.4,14.35,16.76,18.15,19.98,23.71,33.92,40.60,44.09,49.28,65.76,,,,,,,,
"Insurance, reinsurance and pension funding, except compulsory social security ",65,130,24.43,5.3,30.31,10.4,13.55,15.50,16.50,17.38,20.51,28.76,34.80,38.45,41.29,52.94,,,,,,,,
Activities auxiliary to financial services and insurance activities ,66,382,23.24,9.0,32.35,15.4,13.13,15.21,16.38,17.61,20.19,27.59,32.10,35.60,40.00,56.03,,,,,,,,
REAL ESTATE ACTIVITIES ,L,387,16.99,5.3,20.42,3.8,11.97,12.86,13.40,13.99,15.41,18.55,20.71,22.64,24.47,31.79,,,,,,,,
Real estate activities ,68,387,16.99,5.3,20.42,3.8,11.97,12.86,13.40,13.99,15.41,18.55,20.71,22.64,24.47,31.79,,,,,,,,
"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES ",M,"2,213",21.41,3.8,26.62,4.5,12.54,14.36,15.33,16.36,18.60,24.62,28.57,31.14,34.46,44.22,,,,,,,,
Legal and accounting activities ,69,664,21.41,6.2,28.50,6.2,12.46,13.81,14.64,15.62,17.97,25.41,30.45,34.02,37.84,50.69,,,,,,,,
Activities of head offices; management consultancy activities ,70,518,21.85,2.4,28.10,4.8,12.48,14.42,15.33,16.67,19.10,25.24,29.75,32.46,36.01,47.14,,,,,,,,
Architectural and engineering activities; technical testing and analysis ,71,508,21.41,4.1,24.54,4.4,13.14,15.11,16.00,16.95,19.17,24.02,27.13,29.29,32.06,38.58,,,,,,,,
Scientific research and development ,72,176,24.35,-0.7,27.82,-1.1,14.88,17.48,18.56,19.74,21.65,27.25,30.08,32.02,34.38,42.33,,,,,,,,
Advertising and market research ,73,126,20.95,3.8,25.54,-0.1,12.76,14.24,15.06,15.94,18.46,23.31,27.35,29.55,32.60,x,,,,,,,,
"Other professional, scientific and technical activities ",74,151,20.00,12.8,23.91,11.8,12.05,13.65,14.44,15.33,17.52,22.17,25.65,27.61,30.20,39.31,,,,,,,,
Veterinary activities ,75,68,14.94,3.3,18.09,-1.1,11.44,11.98,12.11,12.62,13.60,16.28,18.43,21.21,24.63,x,,,,,,,,
ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES ,N,"1,582",14.55,8.3,18.97,9.2,11.45,11.97,12.15,12.50,13.29,16.34,18.90,20.59,22.89,30.00,,,,,,,,
Rental and leasing activities ,77,148,16.53,6.0,19.54,6.2,11.85,12.50,12.99,13.43,14.72,18.45,21.25,22.57,24.44,32.51,,,,,,,,
Employment activities ,78,575,15.20,8.9,18.12,8.8,11.47,12.01,12.46,12.83,13.80,16.71,19.15,20.95,22.93,28.45,,,,,,,,
"Travel agency, tour operator and other reservation service and related activities ",79,72,17.21,5.9,22.97,12.0,12.26,12.95,13.36,13.99,15.39,19.88,22.47,24.28,26.66,x,,,,,,,,
Security and investigation activities ,80,104,13.15,5.2,15.41,3.1,11.52,11.98,12.05,12.24,12.74,13.87,14.64,15.14,16.47,21.14,,,,,,,,
Services to buildings and landscape activities ,81,342,12.44,6.7,15.81,8.4,11.44,11.45,11.50,11.70,12.00,13.15,14.34,15.30,16.82,21.58,,,,,,,,
"Office administrative, office support and other business support activities ",82,340,17.18,12.1,22.90,9.5,11.63,12.36,12.83,13.33,15.00,19.48,23.49,25.49,28.21,38.48,,,,,,,,
PUBLIC ADMINISTRATION AND DEFENCE; COMPULSORY SOCIAL SECURITY ,O,"1,748",19.20,7.2,21.35,8.1,13.10,14.83,15.28,16.06,17.65,21.67,23.59,24.69,26.16,30.85,,,,,,,,
Public administration and defence; compulsory social security ,84,"1,748",19.20,7.2,21.35,8.1,13.10,14.83,15.28,16.06,17.65,21.67,23.59,24.69,26.16,30.85,,,,,,,,
EDUCATION ,P,"3,995",19.63,6.4,22.28,5.4,12.28,13.46,14.14,14.97,17.21,22.55,25.59,27.26,28.89,34.68,,,,,,,,
Education ,85,"3,995",19.63,6.4,22.28,5.4,12.28,13.46,14.14,14.97,17.21,22.55,25.59,27.26,28.89,34.68,,,,,,,,
HUMAN HEALTH AND SOCIAL WORK ACTIVITIES ,Q,"4,625",16.98,5.1,20.15,4.9,11.72,12.45,12.90,13.49,14.79,19.19,21.98,23.52,25.41,30.28,,,,,,,,
Human health activities ,86,"3,143",19.38,5.9,22.24,4.3,12.28,13.68,14.33,15.21,17.60,21.80,24.02,25.60,27.08,33.29,,,,,,,,
Residential care activities ,87,741,12.90,7.0,15.22,5.7,11.44,11.68,11.88,12.00,12.37,13.60,14.82,15.88,17.71,22.21,,,,,,,,
Social work activities without accommodation ,88,741,13.66,5.9,16.23,6.1,11.47,11.93,12.03,12.29,12.89,14.68,16.11,17.21,18.75,23.77,,,,,,,,
"ARTS, ENTERTAINMENT AND RECREATION ",R,605,13.89,8.0,20.60,10.2,11.43,11.67,11.96,12.11,12.92,15.23,17.03,18.60,20.10,26.14,,,,,,,,
"Creative, arts and entertainment activities ",90,68,16.23,4.0,20.33,-6.1,11.95,12.63,13.15,13.67,14.93,18.30,21.11,22.34,24.55,x,,,,,,,,
"Libraries, archives, museums and other cultural activities ",91,96,15.69,8.7,18.25,8.8,11.62,12.56,12.97,13.24,14.73,16.92,18.78,19.51,21.19,x,,,,,,,,
Gambling and betting activities ,92,58,13.16,3.4,16.74,2.6,11.54,11.81,11.88,12.00,12.54,13.96,15.29,16.44,18.07,x,,,,,,,,
Sports activities and amusement and recreation activities ,93,383,13.21,9.1,22.19,16.3,10.39,11.45,11.61,11.95,12.46,14.44,16.13,17.18,19.17,25.38,,,,,,,,
OTHER SERVICE ACTIVITIES ,S,486,15.00,8.5,19.23,9.0,11.44,11.82,12.09,12.52,13.56,16.66,19.37,20.78,23.00,30.05,,,,,,,,
Activities of membership organisations ,94,265,16.50,9.6,21.01,9.9,11.65,12.52,13.03,13.65,15.08,18.59,21.02,22.99,25.29,31.96,,,,,,,,
Repair of computers and personal and household goods ,95,41,19.15,7.2,23.19,7.1,12.14,12.94,13.36,14.09,15.74,22.87,26.22,29.08,32.78,x,,,,,,,,
Other personal service activities ,96,180,12.76,6.6,15.66,7.0,x,11.44,11.46,11.53,12.00,13.74,15.16,16.14,17.55,21.85,,,,,,,,
ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS; UNDIFFERENTIATED GOODS-AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE ,T,78,12.98,9.0,14.76,12.7,11.44,11.61,11.99,12.00,12.46,13.76,14.49,15.00,15.98,18.54,,,,,,,,
Activities of households as employers of domestic personnel ,97,78,12.98,9.0,14.76,12.7,11.44,11.61,11.99,12.00,12.46,13.76,14.49,15.00,15.98,18.54,,,,,,,,
Undifferentiated goods- and services-producing activities of private households for own use ,98,:,,,,,,,,,,,,,,,,,,,,,,
ACTIVITIES OF EXTRATERRITORIAL ORGANISATIONS AND BODIES ,U,x,19.37,-4.9,23.93,16.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
Activities of extraterritorial organisations and bodies ,99,x,19.37,10.3,23.93,9.8,x,x,x,x,x,x,x,x,x,x,,,,,,,,
North East All Industries and Services,,955,15.23,5.8,18.82,6.9,11.49,12.05,12.45,12.82,13.95,17.08,19.47,21.28,23.17,28.89,,,,,,,,
North East All Index of Production Industries,,112,17.44,7.1,20.70,8.1,12.00,13.19,13.83,14.54,15.78,19.50,22.54,24.00,26.00,33.28,,,,,,,,
North East All Manufacturing,,99,17.22,7.1,20.21,7.0,12.00,13.02,13.54,14.34,15.60,19.24,21.71,23.48,25.29,x,,,,,,,,
North East All Service Industries,,809,14.90,5.8,18.53,6.5,11.45,12.00,12.32,12.63,13.65,16.72,19.07,20.91,22.75,28.29,,,,,,,,
"NORTH EAST, AGRICULTURE, FORESTRY AND FISHING ",A,x,12.54,10.0,14.26,5.4,x,x,x,x,11.49,13.29,x,x,x,x,,,,,,,,
"NORTH EAST, Crop and animal production, hunting and related service activities ",1,x,12.54,10.0,14.26,4.0,x,x,x,x,11.49,13.29,x,x,x,x,,,,,,,,
"NORTH EAST, Forestry and logging ",2,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, Fishing and aquaculture ",3,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, MINING AND QUARRYING ",B,x,x,,28.43,8.1,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Mining of coal and lignite ",5,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, Extraction of crude petroleum and natural gas ",6,..,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, Mining of metal ores ",7,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, Other mining and quarrying ",8,x,19.06,-14.9,21.37,-2.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Mining support service activities ",9,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, MANUFACTURING ",C,99,17.22,7.1,20.21,7.0,12.00,13.02,13.54,14.34,15.60,19.24,21.71,23.48,25.29,x,,,,,,,,
"NORTH EAST, Manufacture of food products ",10,6,13.01,5.1,16.58,-0.2,x,11.56,11.75,11.97,12.46,13.59,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of beverages ",11,x,15.44,,17.31,17.0,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of tobacco products ",12,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, Manufacture of textiles ",13,x,13.24,18.5,13.46,16.4,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of wearing apparel ",14,x,11.56,9.7,11.60,9.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of leather and related products ",15,:,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials ",16,x,17.40,1.7,18.88,3.7,x,x,x,x,16.53,18.57,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of paper and paper products ",17,x,17.39,,19.78,6.5,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Printing and reproduction of recorded media ",18,x,x,,22.66,77.6,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of coke and refined petroleum products ",19,..,,,,,,,,,,,,,,,,,,,,,,
"NORTH EAST, Manufacture of chemicals and chemical products ",20,7,19.16,-5.7,23.31,1.3,x,14.53,14.79,15.03,17.80,21.38,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of basic pharmaceutical products and pharmaceutical preparations ",21,6,24.83,30.1,24.52,6.2,x,x,16.70,17.70,21.10,25.24,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of rubber and plastic products ",22,x,15.62,17.6,16.65,12.0,x,x,13.44,14.21,14.65,16.49,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of other non-metallic mineral products ",23,x,15.21,8.5,15.74,14.3,x,x,x,x,13.43,15.49,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of basic metals ",24,x,19.30,12.9,20.01,5.5,x,x,x,15.48,17.85,20.44,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of fabricated metal products, except machinery and equipment ",25,14,15.92,9.0,18.63,10.8,12.50,13.17,13.53,14.02,15.08,16.92,18.59,19.50,x,x,,,,,,,,
"NORTH EAST, Manufacture of computer, electronic and optical products ",26,x,x,,18.25,-2.0,x,x,12.51,13.13,13.47,x,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of electrical equipment ",27,6,19.35,2.0,21.26,-0.3,x,13.11,14.56,15.62,17.59,19.66,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of machinery and equipment n.e.c. ",28,11,19.41,13.6,22.39,7.3,12.67,14.25,14.99,15.45,17.30,22.19,24.56,26.14,x,x,,,,,,,,
"NORTH EAST, Manufacture of motor vehicles, trailers and semi-trailers ",29,12,18.42,5.7,20.94,14.7,13.36,15.55,15.79,16.19,16.85,20.00,21.88,23.29,x,x,,,,,,,,
"NORTH EAST, Manufacture of other transport equipment ",30,x,x,,25.96,20.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Manufacture of furniture ",31,x,13.15,5.7,14.24,8.9,x,x,x,x,x,13.44,x,x,x,x,,,,,,,,
"NORTH EAST, Other manufacturing ",32,x,x,,25.66,13.8,x,x,x,12.78,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, Repair and installation of machinery and equipment ",33,x,13.82,-10.1,18.46,-4.3,x,x,x,x,x,x,x,x,x,x,,,,,,,,
"NORTH EAST, ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY ",D,x,22.95,,25.82,7.6,x,x,x,18.50,21.71,x,x,x,x,x,,,,,,,,
